author,content,time,ip
"蒸左条鱼
",讲号召农民[doge],25-10-13,来自广东
author,content,time,ip
"实在是妙
",,25-10-13,来自天津
"心瑜16
",损公肥私，还能被理解为正常，美国人民还是太宽容了,25-10-13,来自广西
author,content,time,ip
三好青年的星北,一笔写不出两个塔利班[嘻嘻],25-10-13,来自四川
author,content,time,ip
"无欢2011
",谁挣到钱了？,25-10-12,来自江苏
monohan678,,25-10-13,来自福建
post_id,one_comment_id,author,content,time,ip
4,1,内容不违规,,25-10-13,来自黑龙江
4,1,内容不违规,,25-10-13,来自黑龙江
4,1,佛山三封,,25-10-13,来自广东
4,1,"又好看又不要脸1
",,25-10-13,来自甘肃
4,1,乌拉犬的慈父,不用看评论，哈马斯是公认的伊斯兰原教旨主义的军事武装，只能说战斗力太菜而已，跟胡赛一样，如果有机会就会叫所有的人信教，不信的都杀死。,25-10-13,来自重庆
post_id,one_comment_id,author,content,time,ip
3,1,"光明之塔2021
",能让阿富汗塔利班不惜战争的，我的理解是美国许诺帮它吞并巴基斯坦的部分领土——巴基斯坦普什图人地区,25-10-12,来自山东
3,1,"zcd改名字中
",说的不是中国。,25-10-12,来自河北
3,1,白云畅游蓝天,他说的是美国，事实上也是美国,25-10-12,来自江苏
3,1,潜伏在转债市场,你激动啥，人家说的是美国,25-10-12,来自内蒙古
3,1,"扬帆启航66
",巴铁实际更亲美，幕后推手是美帝,25-10-12,来自贵州
3,1,沈园68,帮美国要军事基地啊,25-10-12,来自福建
3,1,Amazon独立站搞钱,那个是老美，巴基斯坦已经不铁了，已经是二五仔一个了,25-10-12,来自广东
3,1,一路向北-阳阳,大国说的是美国，巴勒斯坦跟美军与中情局合作很深。,25-10-13,来自河南
3,1,别挠我胳肢窝,新闻还是看少了，还活在巴铁的时代？,25-10-12,来自湖北
3,1,"旧日伙记
",你觉得他说的那大国是哪个大国？,25-10-12,来自广东
3,1,三十三山峰,巴基斯坦骨子里是非常亲美的。,25-10-13,来自辽宁
3,1,TBB汤,用的F16轰炸的,25-10-12,来自江苏
3,1,得瑟妹-,说的美国,25-10-13,来自浙江
3,1,"Monsterxjun
",你暴露了 @广东网警[doge],25-10-12,来自福建
3,1,三亚鹿鸣,说的是美国,25-10-12,来自海南
3,1,湘湘涛,印度,25-10-12,来自江苏
3,1,"用户7997375401
",美帝的空军基地这事,25-10-12,来自吉林
post_id,one_comment_id,author,content,time,ip
3,14,"fk糖三角
",又不是被以色列打死的，哈马斯崛起后加沙其他派别就少了现在以色列暴击了哈马斯别的派别能出来了,25-10-13,来自广西
post_id,one_comment_id,author,content,time,ip
3,5,陈年老猫123,,25-10-13,来自北京
3,5,手机用户1009188151,那现在为什么觉得有能力做到了？,25-10-13,来自上海
3,5,"泡泡大个冒
",地道的出入口在医院，学校，幼儿园……是无能吗？是无能为力！,25-10-12,来自上海
post_id,one_comment_id,author,content,time,ip
1,8,BLACKFYK,年轻人都一大堆静脉曲张的[无聊],25-10-13,来自江苏
1,8,尤洪禹扯,,25-10-13,来自广东
post_id,one_comment_id,author,content,time,ip
1,5,"Svrean_120
",跟是不是反战或者反战败没什么关系了，基本上就是指着日本人的劣根性骂了。你可以理解为对着发动战争的内生因素和机制开喷，从骂日本人自己来说挺好的，这个发表归根结底一句话，日本人不行，再这样下去迟早药丸。,25-10-12,来自湖北
post_id,one_comment_id,author,content,time,ip
2,1,"学学菜刀
",确实。,25-10-12,来自四川
post_id,one_comment_id,author,content,time,ip
9,12,三好青年的星北,一笔写不出两个塔利班[嘻嘻],25-10-13,来自四川
post_id,one_comment_id,author,content,time,ip
6,1,"I艳阳高赵I
",[doge],25-10-13,来自辽宁
6,1,"种花小能手噢
",50UAD,25-10-13,来自上海
6,1,"熊猫猫圆滚滚
",[笑而不语],25-10-13,来自山东
6,1,"荆溪小厨
",,25-10-13,来自上海
6,1,玄门羽衣李云心,别被国内b价影响了，我们的b价通货膨胀是最高的[二哈],25-10-13,来自安徽
post_id,one_comment_id,author,content,time,ip
1,5,"何天恩
",正解[话筒],25-10-13,来自浙江
post_id,one_comment_id,author,content,time,ip
3,1,"何天恩
",[话筒],25-10-13,来自浙江
post_id,one_comment_id,author,content,time,ip
3,1,汐雪瑰,假的是电动鱼玩偶[哈哈],25-10-12,来自广东
